question,answer,option,gt_option
Daniel journeyed to the office. John travelled to the office. Mary went back to the garden. Mary went to the bedroom. Mary put down the milk. Where was the milk before the bedroom?,garden,a)office b)hallway c)garden d)kitchen,c
Daniel travelled to the bathroom. Mary travelled to the bedroom. John got the milk. John moved to the hallway. John journeyed to the bedroom. Where was the milk before the bedroom?,hallway,a)office b)bathroom c)kitchen d)hallway,d
John went back to the garden. Mary left the football. Mary journeyed to the bathroom. Mary went to the kitchen. Mary left the milk. Where was the milk before the kitchen?,bathroom,a)office b)hallway c)bathroom d)kitchen,c
Sandra journeyed to the garden. Daniel moved to the bathroom. Mary went back to the bedroom. Mary moved to the bathroom. Mary left the apple there. Where was the apple before the bathroom?,bedroom,a)office b)hallway c)kitchen d)bedroom,d
Daniel moved to the bathroom. Sandra travelled to the bedroom. Sandra moved to the hallway. John travelled to the garden. Sandra discarded the apple there. Where was the apple before the hallway?,bedroom,a)bathroom b)garden c)bedroom d)hallway,c
John got the apple. Sandra moved to the hallway. John took the milk there. John went back to the bedroom. John journeyed to the hallway. Where was the milk before the hallway?,bedroom,a)bedroom b)office c)hallway d)kitchen,a
Sandra got the milk. Sandra travelled to the bathroom. John got the apple there. John went back to the garden. John travelled to the bathroom. Where was the apple before the bathroom?,garden,a)garden b)office c)hallway d)kitchen,a
Mary got the football. Sandra travelled to the garden. Mary moved to the kitchen. Sandra journeyed to the hallway. Sandra dropped the milk there. Where was the milk before the hallway?,garden,a)office b)hallway c)kitchen d)garden,d
John got the apple. Daniel travelled to the office. Mary journeyed to the bedroom. Mary went to the office. Mary left the football. Where was the football before the office?,bedroom,a)office b)bedroom c)hallway d)kitchen,b
Daniel grabbed the apple there. Mary got the football. Daniel went back to the kitchen. Daniel journeyed to the hallway. Daniel discarded the apple. Where was the apple before the hallway?,kitchen,a)office b)hallway c)kitchen d)bedroom,c
Mary got the milk. Daniel went to the garden. John picked up the apple there. John went back to the garden. John journeyed to the hallway. Where was the apple before the hallway?,garden,a)office b)garden c)hallway d)kitchen,b
Mary journeyed to the hallway. Mary got the milk. John went to the kitchen. John went to the office. John dropped the milk. Where was the milk before the office?,kitchen,a)office b)hallway c)bedroom d)kitchen,d
Mary moved to the office. Mary travelled to the garden. Sandra journeyed to the garden. Sandra moved to the hallway. Sandra discarded the apple. Where was the apple before the hallway?,garden,a)office b)hallway c)kitchen d)garden,d
John got the football. Daniel picked up the apple. Daniel journeyed to the garden. Daniel travelled to the office. Daniel put down the apple. Where was the apple before the office?,garden,a)garden b)office c)hallway d)kitchen,a
John journeyed to the hallway. Sandra went back to the bedroom. Mary moved to the bedroom. Mary moved to the kitchen. Mary put down the football. Where was the football before the kitchen?,bedroom,a)bedroom b)office c)hallway d)kitchen,a
John picked up the football there. Daniel went back to the bathroom. Mary went back to the kitchen. Mary moved to the garden. Mary left the apple. Where was the apple before the garden?,kitchen,a)office b)hallway c)kitchen d)bedroom,c
John went to the bathroom. Sandra put down the apple there. Sandra grabbed the apple. Sandra travelled to the garden. Sandra journeyed to the bathroom. Where was the apple before the bathroom?,garden,a)office b)hallway c)garden d)kitchen,c
Sandra journeyed to the kitchen. Daniel got the apple. Sandra moved to the garden. Sandra journeyed to the bathroom. Sandra put down the milk. Where was the milk before the bathroom?,garden,a)office b)hallway c)garden d)kitchen,c
John went back to the kitchen. Daniel moved to the bathroom. Daniel moved to the hallway. Daniel travelled to the office. Daniel discarded the football. Where was the football before the office?,hallway,a)office b)bathroom c)kitchen d)hallway,d
Sandra left the football. Daniel discarded the apple. Daniel moved to the hallway. Daniel travelled to the office. Daniel put down the milk. Where was the milk before the office?,hallway,a)garden b)kitchen c)bathroom d)office,e
Mary discarded the milk. Mary travelled to the bathroom. John got the apple. John journeyed to the hallway. John travelled to the garden. Where was the apple before the garden?,hallway,a)office b)bathroom c)kitchen d)hallway,d
Daniel journeyed to the garden. Sandra travelled to the hallway. John travelled to the bedroom. John travelled to the office. John dropped the milk there. Where was the milk before the office?,bedroom,a)bedroom b)office c)hallway d)kitchen,a
Mary went back to the hallway. Daniel moved to the office. Sandra picked up the milk. Sandra moved to the garden. Sandra journeyed to the bedroom. Where was the milk before the bedroom?,garden,a)garden b)office c)hallway d)kitchen,a
Daniel went to the garden. Mary went back to the garden. Mary travelled to the garden. Mary went to the bedroom. Mary dropped the milk. Where was the milk before the bedroom?,garden,a)bathroom b)kitchen c)hallway d)office,e
Daniel moved to the office. Mary went to the office. Sandra went back to the kitchen. Sandra moved to the office. Sandra discarded the apple. Where was the apple before the office?,kitchen,a)bathroom b)bedroom c)hallway d)office,e
Sandra travelled to the kitchen. John went to the bedroom. John journeyed to the hallway. John travelled to the bedroom. John discarded the football. Where was the football before the bedroom?,hallway,a)garden b)kitchen c)bathroom d)office,e
Mary got the football. Daniel went to the office. Daniel journeyed to the bedroom. Daniel went back to the hallway. Daniel discarded the milk. Where was the milk before the hallway?,bedroom,a)office b)hallway c)bedroom d)kitchen,c
Daniel went back to the office. Mary moved to the bedroom. Mary journeyed to the bedroom. Mary moved to the office. Mary put down the milk. Where was the milk before the office?,bedroom,a)office b)hallway c)kitchen d)bedroom,d
Daniel moved to the office. Mary went back to the bathroom. Mary journeyed to the kitchen. Mary went to the garden. Mary dropped the milk there. Where was the milk before the garden?,kitchen,a)kitchen b)office c)hallway d)bedroom,a
John put down the milk. Mary journeyed to the garden. Sandra journeyed to the bathroom. Sandra went to the garden. Sandra put down the football. Where was the football before the garden?,bathroom,a)garden b)kitchen c)hallway d)office,e
John grabbed the apple. John left the apple. John moved to the hallway. John went back to the bedroom. John put down the apple. Where was the apple before the bedroom?,hallway,a)garden b)kitchen c)bathroom d)office,e
Mary dropped the football there. Daniel went back to the hallway. John grabbed the football there. John went back to the kitchen. John went back to the hallway. Where was the football before the hallway?,kitchen,a)bathroom b)bedroom c)hallway d)office,e
Sandra dropped the apple. Mary moved to the office. Sandra journeyed to the kitchen. Sandra journeyed to the office. Sandra dropped the apple. Where was the apple before the office?,kitchen,a)bathroom b)bedroom c)hallway d)office,e
John grabbed the football. Sandra moved to the bedroom. John went back to the garden. John moved to the bedroom. John left the football. Where was the football before the bedroom?,garden,a)garden b)office c)hallway d)kitchen,a
Daniel journeyed to the garden. John got the milk. Mary journeyed to the garden. Mary travelled to the bathroom. Mary dropped the football. Where was the football before the bathroom?,garden,a)office b)hallway c)garden d)kitchen,c
John went to the garden. Mary journeyed to the kitchen. Mary went back to the office. Mary journeyed to the kitchen. Mary dropped the football. Where was the football before the kitchen?,office,a)garden b)kitchen c)bathroom d)hallway,e
Mary left the milk. Sandra journeyed to the office. John went to the bathroom. John went back to the hallway. John put down the apple. Where was the apple before the hallway?,bathroom,a)office b)hallway c)kitchen d)bathroom,d
Daniel moved to the bathroom. Mary travelled to the garden. Sandra grabbed the apple. Sandra journeyed to the bedroom. Sandra moved to the kitchen. Where was the apple before the kitchen?,bedroom,a)bathroom b)kitchen c)hallway d)office,e
Daniel took the football. Mary dropped the milk. Sandra went back to the kitchen. Sandra went back to the garden. Sandra left the apple. Where was the apple before the garden?,kitchen,a)office b)hallway c)kitchen d)bedroom,c
John grabbed the apple. John left the apple. John went to the bedroom. John moved to the hallway. John discarded the milk. Where was the milk before the hallway?,bedroom,a)office b)hallway c)kitchen d)bedroom,d
John travelled to the hallway. John dropped the apple. John went back to the bedroom. John went back to the bathroom. John left the apple. Where was the apple before the bathroom?,bedroom,a)office b)hallway c)bedroom d)kitchen,c
Daniel went back to the hallway. John grabbed the apple. Mary grabbed the milk there. Mary went back to the garden. Mary went to the hallway. Where was the milk before the hallway?,garden,a)bathroom b)kitchen c)hallway d)office,e
John moved to the kitchen. John dropped the football. Mary went to the garden. Mary went back to the kitchen. Mary left the apple. Where was the apple before the kitchen?,garden,a)garden b)office c)hallway d)kitchen,a
John went back to the garden. Daniel went to the garden. Mary went to the garden. Mary went to the kitchen. Mary discarded the football. Where was the football before the kitchen?,garden,a)office b)hallway c)kitchen d)garden,d
Sandra went back to the office. Daniel moved to the bathroom. Sandra journeyed to the garden. Sandra journeyed to the kitchen. Sandra left the apple. Where was the apple before the kitchen?,garden,a)bathroom b)kitchen c)hallway d)office,e
Sandra left the football. Daniel discarded the apple. Daniel travelled to the bathroom. Daniel moved to the hallway. Daniel put down the milk. Where was the milk before the hallway?,bathroom,a)office b)hallway c)bathroom d)kitchen,c
Daniel got the milk. Sandra dropped the football. Daniel moved to the garden. Daniel went back to the hallway. Daniel dropped the football. Where was the football before the hallway?,garden,a)bathroom b)kitchen c)hallway d)office,e
Sandra went to the garden. Sandra got the football. Sandra went to the office. Sandra went to the hallway. Sandra left the football. Where was the football before the hallway?,office,a)hallway b)office c)bathroom d)kitchen,b
Sandra travelled to the bathroom. Mary grabbed the apple. John went back to the garden. John moved to the kitchen. John put down the apple. Where was the apple before the kitchen?,garden,a)bathroom b)kitchen c)hallway d)office,e
